checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	moddrop_seed1114	L	R2	0.7	1071	0.5145550736	0.7623007111	0.5888787649	0.07432369123
0	moddrop_seed1114	L	R2	1	1530	0.5888787649	0	0.5888787649	0
0	moddrop_seed1114	L	N3_output_only	0.1	153	0.4841369024	0.6005167496	0.5888787649	0.1047418625
0	moddrop_seed1114	L	N3_output_only	0.2	306	0.4287575219	0.6289090756	0.5888787649	0.1601212429
0	moddrop_seed1114	L	N3_output_only	0.3	459	0.4574086738	0.6452230896	0.5888787649	0.131470091
0	moddrop_seed1114	L	N3_output_only	0.5	765	0.5157254853	0.6620320444	0.5888787649	0.07315327952
0	moddrop_seed1114	L	N3_output_only	0.7	1071	0.5407252024	0.7012370773	0.5888787649	0.04815356248
0	moddrop_seed1114	L	N3_output_only	1	1530	0.5888787649	0	0.5888787649	1.110223025e-16
0	moddrop_seed1114	L	N2_length_mask_only	0.1	153	0.5841986706	0.5893987753	0.5888787649	0.004680094265
0	moddrop_seed1114	L	N2_length_mask_only	0.2	306	0.6185690246	0.5814561999	0.5888787649	-0.02969025972
0	moddrop_seed1114	L	N2_length_mask_only	0.3	459	0.6078199319	0.5807611219	0.5888787649	-0.01894116701
0	moddrop_seed1114	L	N2_length_mask_only	0.5	765	0.5865711973	0.5911863324	0.5888787649	0.002307567531
0	moddrop_seed1114	L	N2_length_mask_only	0.7	1071	0.5774685926	0.6155025	0.5888787649	0.01141017222
0	moddrop_seed1114	L	N2_length_mask_only	1	1530	0.5888787649	0	0.5888787649	1.110223025e-16
0	moddrop_seed1114	L	N5_label_bin_prior	0.1	153	0.4287030295	0.6066760688	0.5888787649	0.1601757353
0	moddrop_seed1114	L	N5_label_bin_prior	0.2	306	0.450215199	0.6235446563	0.5888787649	0.1386635658
0	moddrop_seed1114	L	N5_label_bin_prior	0.3	459	0.4631355123	0.6427687303	0.5888787649	0.1257432526
0	moddrop_seed1114	L	N5_label_bin_prior	0.5	765	0.5197920785	0.6579654512	0.5888787649	0.06908668633
0	moddrop_seed1114	L	N5_label_bin_prior	0.7	1071	0.5709062101	0.6308147259	0.5888787649	0.01797255473
0	moddrop_seed1114	L	N5_label_bin_prior	1	1530	0.5888787649	0	0.5888787649	0
0	moddrop_seed1114	L	N1_matched_gaussian	0.1	153	0.5441139842	0.5938526294	0.5888787649	0.04476478069
0	moddrop_seed1114	L	N1_matched_gaussian	0.2	306	0.5910433657	0.5883376147	0.5888787649	-0.002164600832
