direction	role	mode	expert_id	method	seed	samples	spearman_consistency_error	spearman_consistency_regret	auroc_low_consistency_is_exact_best	auroc_consistency_high_error_top_vs_bottom20	consistency_mean	consistency_std	consistency_q05	consistency_q50	consistency_q95	inner_train_consistency_q99_threshold	consistency_outlier_rate_above_inner_q99	error_bottom20_consistency_mean	error_top20_consistency_mean
A	inner_valid	L	moddrop_seed1114	moddrop	1114	1094	0.03085910147	-0.002710292103	0.4764385629	0.5107587415	0.01868728146	0.02380686884	0.0009131908417	0.01181647833	0.05845871121	0.1253427863	0.0155393053	0.01896462914	0.0187938202
A	inner_valid	L	cfcompat_seed1111	cfcompat	1111	1094	0.03598122664	0.1057143456	0.5568100461	0.5401784783	0.005398949673	0.005648508089	0.0003489541821	0.003726929426	0.0161236614	0.02704895914	0.01005484461	0.005113001598	0.00591477631
A	inner_valid	L	cfcompat_seed1114	cfcompat	1114	1094	0.02871881299	0.03725717232	0.4926856884	0.5352786639	0.01834046572	0.02914903895	0.0008379293606	0.01103490219	0.04904905707	0.1564600444	0.01462522852	0.015942377	0.02070993797
A	outer_evaluation	LAV	uniform_kd_seed1111	uniform_kd	1111	7794	0.03798959451	0.04956856435	0.496975078	0.5360465686	0.01402273369	0.01059801272	0.002758657932	0.01160462201	0.03310199231	0.04859854639	0.01154734411	0.01315993257	0.01432056295
A	outer_evaluation	LAV	moddrop_seed1111	moddrop	1111	7794	0.05306261637	0.04547140678	0.4819801831	0.5474426667	0.0140887716	0.01077068233	0.002665027231	0.01160304993	0.03330210745	0.04362686276	0.02104182705	0.01308458673	0.01480153139
A	outer_evaluation	LAV	moddrop_seed1114	moddrop	1114	7794	0.07795310151	0.0610653563	0.4986313741	0.5676487494	0.02208378657	0.01709147603	0.004054824263	0.01842297241	0.05142042115	0.09559255436	0.006928406467	0.02036589321	0.02351424542
A	outer_evaluation	LAV	cfcompat_seed1111	cfcompat	1111	7794	0.06230366589	0.07601804562	0.5230946576	0.5577716921	0.01475715818	0.01072216165	0.002788309753	0.01243952662	0.03405574858	0.02955471396	0.08134462407	0.0134832403	0.01532582266
A	outer_evaluation	LAV	cfcompat_seed1114	cfcompat	1114	7794	0.08391120001	0.07934228449	0.5072522035	0.5601553767	0.03561320954	0.02967473207	0.006248342991	0.02774992585	0.0947411567	0.07956988335	0.07480112907	0.03282433647	0.03870254795
A	outer_evaluation	LA	uniform_kd_seed1111	uniform_kd	1111	7794	0.05172525402	0.06122057025	0.4999279	0.5567048251	0.01116791729	0.009593637361	0.002088066936	0.008777782321	0.02788341604	0.04551313162	0.01218886323	0.01005076352	0.01177044101
A	outer_evaluation	LA	moddrop_seed1111	moddrop	1111	7794	0.04486064728	0.03377311789	0.4860113258	0.5447499898	0.01158491758	0.0101946347	0.002060706168	0.009178012609	0.02882806659	0.04065685928	0.02142673852	0.01087862488	0.01216809376
A	outer_evaluation	LA	moddrop_seed1114	moddrop	1114	7794	0.05488306313	0.06118390904	0.5024735369	0.5503854998	0.01653373497	0.01694324634	0.003049372882	0.01266511157	0.04119796976	0.1105721986	0.007569925584	0.01519154875	0.01690630695
A	outer_evaluation	LA	cfcompat_seed1111	cfcompat	1111	7794	0.07724995348	0.08264910928	0.5231832621	0.5726461141	0.01125649561	0.009301953967	0.002162133157	0.008957840502	0.02746778652	0.0253477259	0.06415191173	0.01015997129	0.01212514019
