method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
common_fixed_safe	Overall	0.5559359927	0.757286805	0.5214486639	0.5443330989	0.8445039204	0.8439799347	0.5558123814	B
drs__Local-DS	LAV	0.562546084	0.7500157301	0.5168776371	0.5394983591	0.8460494572	0.8450893186	0.562546084	B
drs__Local-DS	LA	0.5670593213	0.7446135505	0.5141819034	0.5360993905	0.8410735826	0.8401176594	0.5670593213	B
drs__Local-DS	LV	0.5655914399	0.7452730746	0.5178152836	0.5403187998	0.8440892642	0.8432741652	0.5655914399	B
drs__Local-DS	L	0.5718494269	0.7392186218	0.5137130802	0.5350445382	0.841827503	0.8409800335	0.5718494269	B
drs__Local-DS	Overall	0.566761568	0.7447404164	0.5156469761	0.5377402719	0.8432599517	0.8423654801	0.5653564067	B
drs__Local-DW	LAV	0.5542711435	0.7587040933	0.5216830755	0.5450070323	0.8472557298	0.8465681782	0.5542711435	B
drs__Local-DW	LA	0.5558091825	0.7572485152	0.522620722	0.5459446789	0.847708082	0.8468189327	0.5558091825	B
drs__Local-DW	LV	0.5551019938	0.7577479085	0.5209798406	0.5446554149	0.8478588661	0.8471611491	0.5551019938	B
drs__Local-DW	L	0.5573494254	0.7553084244	0.5219174871	0.5446554149	0.8465018094	0.8456325613	0.5573494254	B
drs__Local-DW	Overall	0.5556329363	0.7572479623	0.5218002813	0.5450656353	0.8473311218	0.8465461497	0.5551790054	B
drs__Local-DWS	LAV	0.5554645491	0.7568931252	0.5208626348	0.5444210033	0.8469541616	0.8460673395	0.5554645491	B
drs__Local-DWS	LA	0.5578554665	0.7546784259	0.5209798406	0.54395218	0.8489143546	0.8478976185	0.5578554665	B
drs__Local-DWS	LV	0.5571837133	0.754591466	0.5201593999	0.5432489451	0.845747889	0.8448945886	0.5571837133	B
drs__Local-DWS	L	0.5599915032	0.7513491206	0.5206282232	0.5428973277	0.8469541616	0.8459996654	0.5599915032	B
drs__Local-DWS	Overall	0.557623808	0.7543706365	0.5206575246	0.543629864	0.8471426417	0.8462147676	0.556904055	B
selected_coverage_10	LAV	0.554348275	0.7590530765	0.5220346929	0.5454758556	0.8446924005	0.8443170723	0.554348275	B
selected_coverage_10	LA	0.5556202765	0.7579371133	0.5235583685	0.5465307079	0.8451447527	0.8445896578	0.5556202765	B
selected_coverage_10	LV	0.5541392112	0.7590686358	0.5210970464	0.5446554149	0.8462002413	0.8457674126	0.5541392112	B
selected_coverage_10	L	0.5567546591	0.7563869778	0.5220346929	0.5451242382	0.8449939686	0.844419199	0.5567546591	B
selected_coverage_10	Overall	0.5552156054	0.7581073141	0.5221812002	0.5454465541	0.8452578408	0.8447741036	0.5549264953	B
selected_coverage_20	LAV	0.5540342501	0.759275744	0.5215658697	0.5450070323	0.8446924005	0.844304791	0.5540342501	B
selected_coverage_20	LA	0.5557335459	0.7577398814	0.5242616034	0.5472339428	0.8455971049	0.8450372867	0.5557335459	B
selected_coverage_20	LV	0.5543491257	0.7588837051	0.5214486639	0.5450070323	0.8460494572	0.8455976796	0.5543491257	B
selected_coverage_20	L	0.5570771857	0.7560183347	0.5222691045	0.5453586498	0.8442400483	0.8436302667	0.5570771857	B
selected_coverage_20	Overall	0.5552985269	0.757975794	0.5223863104	0.5456516643	0.8451447527	0.8446434044	0.5548771013	B
selected_coverage_30	LAV	0.5540720821	0.7593391724	0.5216830755	0.5451242382	0.8448431846	0.8444251306	0.5540720821	B
selected_coverage_30	LA	0.5559558655	0.7575472689	0.5242616034	0.5472339428	0.8455971049	0.8449990402	0.5559558655	B
selected_coverage_30	LV	0.5543533982	0.7589034684	0.520745429	0.5444210033	0.8458986731	0.8454402554	0.5543533982	B
