checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
1	cfcompat_seed1111	LAV	0.9	0.9067077872	0.1080871767	1.226938801	0.791933879
1	cfcompat_seed1111	LA	0.5	0.5034695451	0.1772292777	0.4374761064	0.7931398262
1	cfcompat_seed1111	LA	0.8	0.799537394	0.1547285177	0.9012259235	0.7931398262
1	cfcompat_seed1111	LA	0.9	0.9067077872	0.1083662077	1.230615933	0.7931398262
1	cfcompat_seed1111	LV	0.5	0.499614495	0.1766202768	0.4378170211	0.7900499514
1	cfcompat_seed1111	LV	0.8	0.8049344641	0.1537974721	0.9002787009	0.7900499514
1	cfcompat_seed1111	LV	0.9	0.900539707	0.1082385509	1.227866972	0.7900499514
1	cfcompat_seed1111	L	0.5	0.5057825752	0.1772237032	0.4428861033	0.7846674959
1	cfcompat_seed1111	L	0.8	0.8026214341	0.153870761	0.9046680261	0.7846674959
1	cfcompat_seed1111	L	0.9	0.899768697	0.1085182324	1.227553599	0.7846674959
1	cfcompat_seed1114	LAV	0.5	0.4957594449	0.1734912582	0.4386710855	0.7982307197
1	cfcompat_seed1114	LAV	0.8	0.7979953739	0.1517536285	0.8883929402	0.7982307197
1	cfcompat_seed1114	LAV	0.9	0.9144178874	0.1074207924	1.236901805	0.7982307197
1	cfcompat_seed1114	LA	0.5	0.5104086353	0.1748638861	0.4426415105	0.7952238702
1	cfcompat_seed1114	LA	0.8	0.8033924441	0.1534700497	0.9077374841	0.7952238702
1	cfcompat_seed1114	LA	0.9	0.9097918273	0.1077811541	1.237865381	0.7952238702
1	cfcompat_seed1114	LV	0.5	0.5026985351	0.1741667813	0.4380973652	0.7969884629
1	cfcompat_seed1114	LV	0.8	0.8041634541	0.1515486916	0.8939170421	0.7969884629
1	cfcompat_seed1114	LV	0.9	0.9097918273	0.1074546373	1.235085828	0.7969884629
1	cfcompat_seed1114	L	0.5	0.5019275251	0.1743554485	0.448192144	0.8101417937
1	cfcompat_seed1114	L	0.8	0.8118735544	0.1538752044	0.9172325701	0.8101417937
1	cfcompat_seed1114	L	0.9	0.9121048574	0.1085829418	1.258333938	0.8101417937
