checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	0.3	459	0.6059814156	0.5506250755	0.5672319775	-0.03874943812
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	0.5	765	0.5713061971	0.5631577579	0.5672319775	-0.004074219594
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	0.7	1071	0.560516882	0.5829005337	0.5672319775	0.006715095496
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	L	R0_global	0.1	153	0.4660116885	0.5809249734	0.5694336449	0.1034219564
0	uniform_kd_seed1111	L	R0_global	0.2	306	0.5389960598	0.5770430412	0.5694336449	0.03043758508
0	uniform_kd_seed1111	L	R0_global	0.3	459	0.551350961	0.5771833666	0.5694336449	0.01808268393
0	uniform_kd_seed1111	L	R0_global	0.5	765	0.5378634264	0.6010038635	0.5694336449	0.03157021855
0	uniform_kd_seed1111	L	R0_global	0.7	1071	0.5508149596	0.6128772439	0.5694336449	0.01861868528
0	uniform_kd_seed1111	L	R0_global	1	1530	0.5694336449	0	0.5694336449	-1.110223025e-16
0	uniform_kd_seed1111	L	R0_mode	0.1	153	0.4660116885	0.5809249734	0.5694336449	0.1034219564
0	uniform_kd_seed1111	L	R0_mode	0.2	306	0.5389960598	0.5770430412	0.5694336449	0.03043758508
0	uniform_kd_seed1111	L	R0_mode	0.3	459	0.551350961	0.5771833666	0.5694336449	0.01808268393
0	uniform_kd_seed1111	L	R0_mode	0.5	765	0.5378634264	0.6010038635	0.5694336449	0.03157021855
0	uniform_kd_seed1111	L	R0_mode	0.7	1071	0.5508149596	0.6128772439	0.5694336449	0.01861868528
0	uniform_kd_seed1111	L	R0_mode	1	1530	0.5694336449	0	0.5694336449	-1.110223025e-16
0	uniform_kd_seed1111	L	R1	0.1	153	0.4768368543	0.5797221772	0.5694336449	0.09259679063
0	uniform_kd_seed1111	L	R1	0.2	306	0.4077186567	0.609862392	0.5694336449	0.1617149882
0	uniform_kd_seed1111	L	R1	0.3	459	0.4304714197	0.6289888843	0.5694336449	0.1389622253
0	uniform_kd_seed1111	L	R1	0.5	765	0.4965204977	0.6423467921	0.5694336449	0.0729131472
0	uniform_kd_seed1111	L	R1	0.7	1071	0.5168609945	0.6921031625	0.5694336449	0.05257265039
0	uniform_kd_seed1111	L	R1	1	1530	0.5694336449	0	0.5694336449	-1.110223025e-16
0	uniform_kd_seed1111	L	R2	0.1	153	0.4120401153	0.5869218149	0.5694336449	0.1573935296
0	uniform_kd_seed1111	L	R2	0.2	306	0.4115976633	0.6088926403	0.5694336449	0.1578359816
0	uniform_kd_seed1111	L	R2	0.3	459	0.4481046367	0.6214317913	0.5694336449	0.1213290083
0	uniform_kd_seed1111	L	R2	0.5	765	0.4729595246	0.6659077652	0.5694336449	0.0964741203
0	uniform_kd_seed1111	L	R2	0.7	1071	0.5109689562	0.705851252	0.5694336449	0.05846468875
0	uniform_kd_seed1111	L	R2	1	1530	0.5694336449	0	0.5694336449	0
0	uniform_kd_seed1111	L	N3_output_only	0.1	153	0.4768368543	0.5797221772	0.5694336449	0.09259679063
