checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
1	cfcompat_seed1111	LAV	30	10	25	0.01927525058	0.883836478	0.0988258351	0
1	cfcompat_seed1111	LAV	30	20	55	0.04240555127	0.8668130581	0.17811069	0
1	cfcompat_seed1111	LAV	40	10	35	0.02698535081	0.7614217795	0.0831281708	0
1	cfcompat_seed1111	LAV	40	20	74	0.05705474171	0.7612980929	0.1561753215	0
1	cfcompat_seed1111	LA	20	10	13	0.0100231303	0.8699376947	0.03877866108	0
1	cfcompat_seed1111	LA	20	20	30	0.02313030069	0.8918968692	0.1383296508	0
1	cfcompat_seed1111	LA	30	10	23	0.01773323053	0.8802812095	0.1230937153	0.04347826087
1	cfcompat_seed1111	LA	30	20	47	0.03623747109	0.8827234043	0.2067427531	0.02127659574
1	cfcompat_seed1111	LA	40	10	30	0.02313030069	0.7695869508	0.1025850306	0.03333333333
1	cfcompat_seed1111	LA	40	20	65	0.0501156515	0.7651723277	0.1721962193	0.01538461538
1	cfcompat_seed1111	LV	20	10	15	0.01156515035	0.835049402	0.1109784368	0.06666666667
1	cfcompat_seed1111	LV	20	20	34	0.02621434079	0.8626752364	0.2098759731	0.08823529412
1	cfcompat_seed1111	LV	30	10	26	0.0200462606	0.8642800944	0.1427726043	0.03846153846
1	cfcompat_seed1111	LV	30	20	52	0.0400925212	0.8695551437	0.2471231167	0.05769230769
1	cfcompat_seed1111	LV	40	10	37	0.02852737086	0.731048906	0.1137391281	0.02702702703
1	cfcompat_seed1111	LV	40	20	73	0.05628373169	0.7562281762	0.2037133785	0.04109589041
1	cfcompat_seed1111	L	20	10	17	0.01310717039	0.8752297794	0.06531736221	0
1	cfcompat_seed1111	L	20	20	34	0.02621434079	0.863467002	0.1019728607	0
1	cfcompat_seed1111	L	30	10	21	0.01619121049	0.8580385132	0.06642934637	0
1	cfcompat_seed1111	L	30	20	49	0.03777949113	0.8772893773	0.1802587266	0
1	cfcompat_seed1111	L	40	10	34	0.02621434079	0.7608518467	0.06227094523	0
1	cfcompat_seed1111	L	40	20	69	0.0531996916	0.7844202899	0.1590238639	0
1	cfcompat_seed1114	LAV	20	10	20	0.01542020046	0.8495693031	0.06151858506	0
1	cfcompat_seed1114	LAV	20	20	37	0.02852737086	0.8673530674	0.1277627829	0
1	cfcompat_seed1114	LAV	30	10	35	0.02698535081	0.8796015395	0.1397102978	0
1	cfcompat_seed1114	LAV	30	20	59	0.04548959136	0.8924591331	0.232997007	0
1	cfcompat_seed1114	LAV	40	10	46	0.03546646106	0.7942168005	0.1223603238	0
1	cfcompat_seed1114	LAV	40	20	79	0.06090979183	0.786982187	0.2004610936	0
1	cfcompat_seed1114	LA	20	10	19	0.01464919044	0.9032616753	0.1167396931	0
1	cfcompat_seed1114	LA	20	20	37	0.02852737086	0.8825825826	0.1448230386	0
1	cfcompat_seed1114	LA	30	10	24	0.01850424056	0.8984354543	0.1360907028	0
1	cfcompat_seed1114	LA	30	20	52	0.0400925212	0.8903459994	0.1964719214	0
1	cfcompat_seed1114	LA	40	10	37	0.02852737086	0.7943800944	0.1106938804	0
1	cfcompat_seed1114	LA	40	20	71	0.05474171164	0.8196470832	0.1784908814	0
1	cfcompat_seed1114	LV	20	10	26	0.0200462606	0.8492707136	0.08534584075	0
1	cfcompat_seed1114	LV	20	20	43	0.03315343099	0.8589073106	0.13018497	0
1	cfcompat_seed1114	LV	30	10	35	0.02698535081	0.8627348879	0.1056130634	0
1	cfcompat_seed1114	LV	30	20	64	0.04934464148	0.8819444444	0.2142728026	0
1	cfcompat_seed1114	LV	40	10	48	0.03700848111	0.7897568054	0.1034658741	0
1	cfcompat_seed1114	LV	40	20	87	0.06707787201	0.7992637979	0.1993159625	0
1	cfcompat_seed1114	L	20	10	16	0.01233616037	0.8844408665	0.07539851059	0
1	cfcompat_seed1114	L	20	20	27	0.02081727062	0.8987022456	0.1416909705	0
1	cfcompat_seed1114	L	30	10	26	0.0200462606	0.8565484476	0.0810625055	0
1	cfcompat_seed1114	L	30	20	48	0.03700848111	0.8572774887	0.1457621557	0
1	cfcompat_seed1114	L	40	10	38	0.02929838088	0.8042410434	0.08083687276	0
1	cfcompat_seed1114	L	40	20	72	0.05551272167	0.8092913832	0.1490488028	0
